"tickers","tickers/_text"
"https://www.nyse.com/quote/XNYS:CSC","CSC"
"https://www.nyse.com/quote/XNYS:CAG","CAG"
"https://www.nyse.com/quote/XNYS:COP","COP"
"https://www.nyse.com/quote/XNYS:CNX","CNX"
"https://www.nyse.com/quote/XNYS:ED","ED"
"https://www.nyse.com/quote/XNYS:STZ","STZ"
"https://www.nyse.com/quote/XNYS:GLW","GLW"
"http://www.nasdaq.com/symbol/cost","COST"
"https://www.nyse.com/quote/XNYS:COV","COV"
"https://www.nyse.com/quote/XNYS:CCI","CCI"
"https://www.nyse.com/quote/XNYS:CSX","CSX"
"https://www.nyse.com/quote/XNYS:CMI","CMI"
"https://www.nyse.com/quote/XNYS:CVS","CVS"
"https://www.nyse.com/quote/XNYS:DHI","DHI"
"https://www.nyse.com/quote/XNYS:DHR","DHR"
"https://www.nyse.com/quote/XNYS:DRI","DRI"
"https://www.nyse.com/quote/XNYS:DVA","DVA"
"https://www.nyse.com/quote/XNYS:DE","DE"
"https://www.nyse.com/quote/XNYS:DLPH","DLPH"
"https://www.nyse.com/quote/XNYS:DAL","DAL"
"https://www.nyse.com/quote/XNYS:DNR","DNR"
"http://www.nasdaq.com/symbol/xray","XRAY"
"https://www.nyse.com/quote/XNYS:DVN","DVN"
"https://www.nyse.com/quote/XNYS:DO","DO"
"http://www.nasdaq.com/symbol/dtv","DTV"
"https://www.nyse.com/quote/XNYS:DFS","DFS"
"http://www.nasdaq.com/symbol/disca","DISCA"
"http://www.nasdaq.com/symbol/disck","DISCK"
"https://www.nyse.com/quote/XNYS:DG","DG"
"http://www.nasdaq.com/symbol/dltr","DLTR"
"https://www.nyse.com/quote/XNYS:D","D"
"https://www.nyse.com/quote/XNYS:DOV","DOV"
"https://www.nyse.com/quote/XNYS:DOW","DOW"
"https://www.nyse.com/quote/XNYS:DPS","DPS"
"https://www.nyse.com/quote/XNYS:DTE","DTE"
"https://www.nyse.com/quote/XNYS:DD","DD"
"https://www.nyse.com/quote/XNYS:DUK","DUK"
"https://www.nyse.com/quote/XNYS:DNB","DNB"
"http://www.nasdaq.com/symbol/etfc","ETFC"
"https://www.nyse.com/quote/XNYS:EMN","EMN"
"https://www.nyse.com/quote/XNYS:ETN","ETN"
"http://www.nasdaq.com/symbol/ebay","EBAY"
"https://www.nyse.com/quote/XNYS:ECL","ECL"
"https://www.nyse.com/quote/XNYS:EIX","EIX"
"https://www.nyse.com/quote/XNYS:EW","EW"
"http://www.nasdaq.com/symbol/ea","EA"
"https://www.nyse.com/quote/XNYS:EMC","EMC"
"https://www.nyse.com/quote/XNYS:EMR","EMR"
"https://www.nyse.com/quote/XNYS:ESV","ESV"
"https://www.nyse.com/quote/XNYS:ETR","ETR"
"https://www.nyse.com/quote/XNYS:EOG","EOG"
"https://www.nyse.com/quote/XNYS:EQT","EQT"
"https://www.nyse.com/quote/XNYS:EFX","EFX"
"https://www.nyse.com/quote/XNYS:EQR","EQR"
"https://www.nyse.com/quote/XNYS:ESS","ESS"
"https://www.nyse.com/quote/XNYS:EL","EL"
"https://www.nyse.com/quote/XNYS:EXC","EXC"
"http://www.nasdaq.com/symbol/expe","EXPE"
"http://www.nasdaq.com/symbol/expd","EXPD"
"http://www.nasdaq.com/symbol/esrx","ESRX"
"https://www.nyse.com/quote/XNYS:XOM","XOM"
"http://www.nasdaq.com/symbol/ffiv","FFIV"
"http://www.nasdaq.com/symbol/fb","FB"
"https://www.nyse.com/quote/XNYS:FDO","FDO"
"http://www.nasdaq.com/symbol/fast","FAST"
"https://www.nyse.com/quote/XNYS:FDX","FDX"
"https://www.nyse.com/quote/XNYS:FIS","FIS"
"http://www.nasdaq.com/symbol/fitb","FITB"
"http://www.nasdaq.com/symbol/fslr","FSLR"
"https://www.nyse.com/quote/XNYS:FE","FE"
"http://www.nasdaq.com/symbol/fisv","FISV"
"http://www.nasdaq.com/symbol/flir","FLIR"
"https://www.nyse.com/quote/XNYS:FLS","FLS"
"https://www.nyse.com/quote/XNYS:FLR","FLR"
"https://www.nyse.com/quote/XNYS:FMC","FMC"
"https://www.nyse.com/quote/XNYS:FTI","FTI"
"https://www.nyse.com/quote/XNYS:F","F"
"http://www.nasdaq.com/symbol/fosl","FOSL"
"https://www.nyse.com/quote/XNYS:BEN","BEN"
"https://www.nyse.com/quote/XNYS:FCX","FCX"
"http://www.nasdaq.com/symbol/ftr","FTR"
"https://www.nyse.com/quote/XNYS:GME","GME"
"https://www.nyse.com/quote/XNYS:GCI","GCI"
"https://www.nyse.com/quote/XNYS:GPS","GPS"
"http://www.nasdaq.com/symbol/grmn","GRMN"
"https://www.nyse.com/quote/XNYS:GD","GD"
"https://www.nyse.com/quote/XNYS:GE","GE"
"https://www.nyse.com/quote/XNYS:GGP","GGP"
"https://www.nyse.com/quote/XNYS:GIS","GIS"
"https://www.nyse.com/quote/XNYS:GM","GM"
"https://www.nyse.com/quote/XNYS:GPC","GPC"
"https://www.nyse.com/quote/XNYS:GNW","GNW"
"http://www.nasdaq.com/symbol/gild","GILD"
"https://www.nyse.com/quote/XNYS:GS","GS"
"http://www.nasdaq.com/symbol/gt","GT"
"http://www.nasdaq.com/symbol/googl","GOOGL"
"http://www.nasdaq.com/symbol/goog","GOOG"
"https://www.nyse.com/quote/XNYS:GWW","GWW"
"https://www.nyse.com/quote/XNYS:HAL","HAL"
"https://www.nyse.com/quote/XNYS:HOG","HOG"
"https://www.nyse.com/quote/XNYS:HAR","HAR"
"https://www.nyse.com/quote/XNYS:HRS","HRS"
"https://www.nyse.com/quote/XNYS:HIG","HIG"
"http://www.nasdaq.com/symbol/has","HAS"
"https://www.nyse.com/quote/XNYS:HCP","HCP"
"https://www.nyse.com/quote/XNYS:HCN","HCN"
"https://www.nyse.com/quote/XNYS:HP","HP"
"https://www.nyse.com/quote/XNYS:HES","HES"
"https://www.nyse.com/quote/XNYS:HPQ","HPQ"
"https://www.nyse.com/quote/XNYS:HD","HD"
"https://www.nyse.com/quote/XNYS:HON","HON"
"https://www.nyse.com/quote/XNYS:HRL","HRL"
"https://www.nyse.com/quote/XNYS:HSP","HSP"
"https://www.nyse.com/quote/XNYS:HST","HST"
"http://www.nasdaq.com/symbol/hcbk","HCBK"
"https://www.nyse.com/quote/XNYS:HUM","HUM"
"http://www.nasdaq.com/symbol/hban","HBAN"
"https://www.nyse.com/quote/XNYS:ITW","ITW"
"https://www.nyse.com/quote/XNYS:IR","IR"
"https://www.nyse.com/quote/XNYS:TEG","TEG"
"http://www.nasdaq.com/symbol/intc","INTC"
"https://www.nyse.com/quote/XNYS:ICE","ICE"
"https://www.nyse.com/quote/XNYS:IBM","IBM"
"https://www.nyse.com/quote/XNYS:IP","IP"
"https://www.nyse.com/quote/XNYS:IPG","IPG"
"https://www.nyse.com/quote/XNYS:IFF","IFF"
"http://www.nasdaq.com/symbol/intu","INTU"
"http://www.nasdaq.com/symbol/isrg","ISRG"
